personid,T_i,corr,sd_y,sd_x,sd_ratio,beta
A560000,46,0.19739341777664512,0.5145233712057288,3.055367123515617,0.16839985193455229,0.03324102232644226
A030000,40,0.19726718213738756,0.5063696835418333,1.3645038594916032,0.3711016865357202,0.07320618398933362
A945000,46,0.19569420436532003,0.5769317477361544,0.7393327569021735,0.780341114809407,0.15270823359617378
A588000,46,0.19543147914583317,0.6827763725256074,0.42657638208123033,1.600595816379704,0.31280680790971793
A492000,42,0.19458595982015356,0.4417261042993862,0.4274924536001869,1.0332956771033701,0.20106483110717477
A246000,45,0.19378096938454498,0.5640760748177662,0.4378762740878956,1.2882088119360822,0.24963035234668698
A426000,48,0.19307193286281985,0.5457768229098153,0.6641306877701547,0.8217913024653066,0.15866483517683097
A504000,44,0.19287555250771646,0.45691769976132424,1.6463539191183043,0.27753309568213863,0.05352934916886942
A266000,46,0.19098012724019314,0.4714045207910317,0.41218818846329786,1.1436633411270265,0.21841697040838393
A919000,40,0.1904818342906999,0.4797167967959899,0.3647508814471726,1.315190233105627,0.250519848043173
A617000,46,0.19015073224777382,0.44667315591219536,0.9245510728553711,0.48312437141270737,0.09186645299087176
A992000,46,0.18905056496409756,0.4216370213557839,3.0896235512379575,0.13646873619501035,0.025799491677603096
A278000,47,0.18892714429601853,0.5897678246195885,0.42935404482380135,1.3736165566149912,0.25951345339900056
A892000,46,0.18844604427206857,0.4216370213557839,0.9067230994963731,0.46501188906511415,0.08762965103380274
A159000,44,0.1881940263108295,0.45691769976132424,0.764384239246644,0.5977591848461576,0.11249470776047776
A212000,46,0.18766599399890377,0.3651483716701107,0.8872091183525143,0.411569678576079,0.07723763282978918
A646000,48,0.1866648571690733,0.5834599659915782,0.45718101489097723,1.276212150083954,0.23822395871285723
A980000,46,0.18554402930034722,0.4714045207910317,0.8633796233242425,0.5459991272159033,0.10130687805811156
